ProductID,StoreID,ReportDate,SalesCumulativeSum
74263036,9249024,2021-05-02,2.0
74263036,9249024,2021-05-03,2.0
74263036,9249024,2021-05-04,2.0
74263036,9249024,2021-05-05,2.0
74263036,9249024,2021-05-06,2.0
74263036,9249024,2021-05-08,1.0
74263036,9249024,2021-05-09,1.0
74263036,9249024,2021-05-10,1.0
74263036,9249024,2021-05-11,1.0
74263036,9249024,2021-05-13,1.0
74263036,9249024,2021-05-14,1.0
74263036,9249024,2021-05-15,1.0
74263036,9249024,2021-05-16,1.0
74263036,9249024,2021-05-17,1.0
74263036,9249024,2021-05-18,1.0
81537325,8503335,2021-04-23,905.0
81537325,8503335,2021-04-24,905.0
81537325,8503335,2021-04-25,905.0
81537325,8503335,2021-04-26,905.0
81537325,8503335,2021-04-27,905.0
81537325,8503335,2021-04-28,905.0
81537325,8503335,2021-04-29,905.0
81537325,8503335,2021-05-01,1222.0
81537325,8503335,2021-05-02,1222.0
81537325,8503335,2021-05-03,1054.0
81537325,8503335,2021-05-04,1078.0
81537325,8503335,2021-05-05,1769.0
81537325,8503335,2021-05-06,1769.0
81537325,8503335,2021-05-08,1562.0
81537325,8503335,2021-05-09,1061.0
81537325,8503335,2021-05-10,907.0
81537325,8503335,2021-05-11,907.0
81537325,8503335,2021-05-13,907.0
81537325,8503335,2021-05-14,909.0
81537325,8503335,2021-05-15,909.0
81537325,8503335,2021-05-16,909.0
81537325,8503335,2021-05-17,909.0
81537325,8503335,2021-05-18,909.0
90806381,12078472,2021-04-23,32.0
90806381,12078472,2021-04-24,32.0
90806381,12078472,2021-04-25,32.0
90806381,12078472,2021-04-26,32.0
90806381,12078472,2021-04-27,32.0
90806381,12078472,2021-04-28,32.0
90806381,12078472,2021-04-29,32.0
90806381,12078472,2021-05-01,54.0
90806381,12078472,2021-05-03,54.0
90806381,12078472,2021-05-04,53.0
90806381,12078472,2021-05-05,46.0
90806381,12078472,2021-05-06,45.0
90806381,12078472,2021-05-08,56.0
90806381,12078472,2021-05-09,56.0
90806381,12078472,2021-05-10,32.0
90806381,12078472,2021-05-11,32.0
90806381,12078472,2021-05-13,32.0
90806381,12078472,2021-05-14,32.0
90806381,12078472,2021-05-15,32.0
90806381,12078472,2021-05-16,32.0
90806381,12078472,2021-05-17,32.0
90806381,12078472,2021-05-18,32.0
92999278,1394831,2021-04-23,398.0
92999278,1394831,2021-04-24,398.0
92999278,1394831,2021-04-25,398.0
92999278,1394831,2021-04-26,398.0
92999278,1394831,2021-04-27,398.0
92999278,1394831,2021-04-28,398.0
92999278,1394831,2021-04-29,398.0
92999278,1394831,2021-05-01,694.0
92999278,1394831,2021-05-03,694.0
92999278,1394831,2021-05-04,588.0
92999278,1394831,2021-05-05,588.0
